feature,n,pearson_r,pearson_p,spearman_r,spearman_p
mood_mean,1216,0.472,0.0,0.477,0.0
circumplex.valence_mean,1214,0.2733,0.0,0.2669,0.0
appCat.entertainment_sum,818,0.1328,0.0001,0.1855,0.0
activity_mean,1138,0.1183,0.0001,0.1582,0.0
circumplex.arousal_mean,1216,0.0821,0.0042,0.0438,0.127
appCat.social_sum,957,-0.0581,0.0725,0.0122,0.7064
appCat.builtin_sum,1151,0.0579,0.0494,-0.0002,0.9938
appCat.communication_sum,1140,0.0573,0.0529,0.109,0.0002
appCat.other_sum,1085,0.0347,0.2535,0.1363,0.0
screen_sum,1159,0.0337,0.2517,0.0878,0.0028
call_sum,755,-0.0256,0.4816,-0.025,0.4934
sms_sum,437,-0.0239,0.6183,0.0277,0.5636
