feature,lag,r,p,n
mood_mean,1,0.472,0.0,1216
activity_mean,1,0.1183,0.0001,1138
screen_sum,1,0.0337,0.2517,1159
appCat.social_sum,1,-0.0581,0.0725,957
appCat.communication_sum,1,0.0573,0.0529,1140
circumplex.valence_mean,1,0.2733,0.0,1214
circumplex.arousal_mean,1,0.0821,0.0042,1216
mood_mean,2,0.3929,0.0,1186
activity_mean,2,0.1106,0.0002,1115
screen_sum,2,0.1003,0.0007,1138
appCat.social_sum,2,-0.078,0.0167,941
appCat.communication_sum,2,0.1072,0.0003,1115
circumplex.valence_mean,2,0.1903,0.0,1185
circumplex.arousal_mean,2,0.0245,0.3983,1186
mood_mean,3,0.2967,0.0,1163
activity_mean,3,0.0769,0.0111,1089
screen_sum,3,0.0587,0.0504,1113
appCat.social_sum,3,-0.0625,0.0583,918
appCat.communication_sum,3,0.0776,0.0104,1090
circumplex.valence_mean,3,0.1084,0.0002,1162
circumplex.arousal_mean,3,-0.0063,0.8291,1163
mood_mean,5,0.3423,0.0,1103
activity_mean,5,0.054,0.0817,1041
screen_sum,5,0.0672,0.0282,1065
appCat.social_sum,5,0.001,0.9753,881
appCat.communication_sum,5,0.0929,0.0026,1046
circumplex.valence_mean,5,0.1511,0.0,1102
circumplex.arousal_mean,5,-0.0316,0.2948,1103
mood_mean,7,0.3225,0.0,1049
activity_mean,7,0.0579,0.0687,991
screen_sum,7,0.0649,0.0386,1017
appCat.social_sum,7,-0.0183,0.5972,836
appCat.communication_sum,7,0.0843,0.0078,996
circumplex.valence_mean,7,0.1596,0.0,1048
circumplex.arousal_mean,7,-0.0199,0.5207,1049
