variable,missing_%,max_streak,category
appCat.social,67.62,58,prolonged_gaps
appCat.other,63.29,58,prolonged_gaps
appCat.communication,61.23,58,prolonged_gaps
activity,61.06,58,prolonged_gaps
appCat.builtin,60.83,58,prolonged_gaps
screen,60.44,58,prolonged_gaps
circumplex.valence,58.51,58,prolonged_gaps
circumplex.arousal,58.44,58,prolonged_gaps
mood,58.44,58,prolonged_gaps
call,56.15,22,prolonged_gaps
appCat.weather,96.3,104,structurally_sparse
appCat.game,93.67,104,structurally_sparse
appCat.finance,93.22,103,structurally_sparse
appCat.unknown,91.35,88,structurally_sparse
appCat.office,90.95,98,structurally_sparse
appCat.travel,85.94,63,structurally_sparse
appCat.utilities,85.81,81,structurally_sparse
sms,75.94,40,structurally_sparse
appCat.entertainment,72.14,72,structurally_sparse
