variable,Q1,Q3,IQR,fence_lo,fence_hi,n_extreme,pct_extreme,affected_patients,before_min,before_max,before_mean,before_std,after_min,after_max,after_mean,after_std
appCat.builtin,2.02,9.922,7.902,-21.686,33.628,5958,6.53,27,0.001,33960.246,19.4464,312.915,0.001,33.627,6.3206,6.6601
appCat.communication,5.218,45.4758,40.2578,-115.5552,166.249,3119,4.2,27,0.006,9830.777,43.3438,128.9128,0.006,166.247,28.6117,33.1394
appCat.entertainment,1.334,14.9222,13.5882,-39.4307,55.687,3746,13.81,27,0.001,32148.677,37.5779,262.9652,0.001,55.559,6.613,9.7326
appCat.finance,4.072,20.155,16.083,-44.177,68.404,69,7.35,11,0.131,355.513,21.7553,39.2184,0.131,68.332,12.7232,13.8358
appCat.game,14.148,123.625,109.477,-314.283,452.056,51,6.27,6,1.003,5491.793,128.3916,327.1452,1.003,445.963,73.2839,89.9352
appCat.office,2.004,8.0438,6.0398,-16.1152,26.163,639,11.33,20,0.003,32708.818,22.5789,449.6014,0.003,26.142,4.6897,4.7916
appCat.other,7.019,16.8293,9.8103,-22.4118,46.26,656,8.58,25,0.014,3892.038,25.8108,112.7814,0.014,46.077,11.5751,8.7475
appCat.social,9.03,75.372,66.342,-189.996,274.398,919,4.8,23,0.094,30000.906,72.4019,261.5518,0.094,274.202,47.4274,55.9178
appCat.travel,5.0865,47.2272,42.1407,-121.3358,173.6495,74,2.6,17,0.08,10452.615,45.7308,246.1093,0.08,171.46,30.2365,33.3939
appCat.unknown,5.018,44.4305,39.4125,-113.2195,162.668,45,4.79,11,0.111,2239.937,45.553,119.4004,0.111,157.287,26.7552,31.0827
appCat.utilities,3.1585,19.331,16.1725,-45.359,67.8485,81,3.26,10,0.246,1802.649,18.5376,60.9591,0.246,67.83,12.3701,12.951
appCat.weather,8.684,25.349,16.665,-41.311,75.344,2,0.78,2,1.003,344.863,20.1487,24.9434,1.003,68.253,18.6023,13.7383
screen,5.3223,62.5403,57.218,-166.3318,234.1943,5957,6.17,27,0.035,9867.007,75.3352,253.8225,0.035,234.176,36.8959,46.2359
