y_true,y_pred_lstm,error_lstm
6.8,7.0869875,-0.2869873
6.8,6.9698424,-0.16984224
7.6,7.4581137,0.14188623
6.9,6.5906463,0.30935383
7.0,7.013014,-0.01301384
5.4166665,5.200293,0.21637344
7.55,7.3789945,0.17100573
7.125,7.021984,0.1030159
6.45,6.6021423,-0.15214252
7.4,7.0037293,0.39627075
7.125,6.8065724,0.31842756
6.1,5.8967934,0.20320654
7.0833335,7.246477,-0.16314363
7.1,6.839475,0.26052475
7.0,6.916194,0.08380604
7.25,7.436687,-0.186687
7.7,7.4037924,0.29620743
6.5,6.992069,-0.49206877
6.6,6.916053,-0.3160529
7.7,7.62339,0.07660961
6.95,6.648121,0.30187893
7.0,7.0206356,-0.020635605
5.9583335,5.648664,0.3096695
7.525,7.3834305,0.14156961
7.1875,7.1439705,0.04352951
6.475,6.7344456,-0.25944567
7.6,7.1411443,0.45885563
7.3125,7.0671434,0.24535656
6.15,6.0300364,0.119963646
7.0,7.2921753,-0.2921753
7.05,6.8393116,0.21068859
7.0,6.912336,0.08766413
7.125,7.4175544,-0.29255438
7.75,7.4315557,0.31844425
6.2,6.8029833,-0.6029835
6.4,6.8276253,-0.42762518
7.8,7.691371,0.10862923
7.0,6.7313643,0.26863575
7.0,6.990707,0.009293079
6.5,5.9454184,0.55458164
7.5,7.352217,0.1477828
7.25,7.2391534,0.010846615
6.5,6.857864,-0.3578639
7.8,7.272939,0.527061
7.5,7.245836,0.25416422
6.2,6.1530566,0.046943188
7.0,7.2841096,-0.2841096
7.0,6.795131,0.2048688
7.0,7.0227685,-0.022768497
7.0,7.3338814,-0.33388138
7.8,7.458375,0.3416252
8.0,6.639671,1.3603292
7.4,7.7472897,-0.34728956
7.0,6.8103485,0.18965149
7.6,6.9549203,0.6450796
8.0,6.202527,1.797473
6.8,7.381755,-0.5817547
6.6,7.295453,-0.69545317
4.8,6.9333806,-2.1333804
8.0,7.4307733,0.56922674
6.8,7.4162874,-0.61628723
7.0,6.2949524,0.7050476
6.6,6.7665906,-0.16659069
7.3333335,7.1685915,0.164742
6.8,6.4108586,0.38914156
7.8,7.499128,0.30087233
6.8,6.814337,-0.014336586
6.5,6.4896693,0.010330677
7.5,7.248148,0.25185204
7.5,6.718243,0.7817569
6.25,7.0197806,-0.76978064
5.2,4.969681,0.23031902
6.0,6.63047,-0.6304698
6.6,6.7064433,-0.106443405
6.6,7.0565405,-0.45654058
3.5,6.9107103,-3.4107103
6.8,7.020284,-0.22028399
7.0,6.930404,0.069595814
6.8,6.6155405,0.18445969
7.6,7.342297,0.25770283
6.25,6.7649717,-0.51497173
7.2,6.559219,0.6407809
8.6,7.5682855,1.0317149
5.8,7.209457,-1.4094567
8.0,7.6275926,0.37240744
7.4,7.5387497,-0.1387496
6.8,6.9030504,-0.10305023
7.0,7.9721155,-0.9721155
7.8,6.825795,0.974205
5.6666665,6.466548,-0.79988146
7.8,7.3921857,0.4078145
7.2,7.0541,0.14589977
6.8,6.8255787,-0.025578499
7.0,5.2908745,1.7091255
7.8,6.264799,1.5352011
8.0,6.861718,1.1382818
5.8,6.943608,-1.1436076
7.2,5.4617825,1.7382174
6.75,6.6501155,0.09988451
7.0,6.108697,0.89130306
7.2,6.860547,0.33945274
7.0,6.8412843,0.15871572
6.8,6.5633764,0.23662376
7.75,7.352596,0.3974042
7.25,7.4014864,-0.1514864
7.5,6.683593,0.8164072
8.0,7.0475492,0.95245075
7.5,7.954462,-0.45446205
6.75,6.7477975,0.0022025108
7.0,7.513611,-0.51361084
7.8,7.3071685,0.4928317
7.8,6.881711,0.9182892
7.0,7.679241,-0.6792412
7.25,7.150541,0.09945917
5.0,6.2080026,-1.2080026
7.5,7.46178,0.03821993
7.2,6.9467,0.2532997
8.2,6.8844934,1.3155065
3.0,6.2305794,-3.2305794
6.4,6.9845185,-0.58451843
6.25,7.2754574,-1.0254574
6.4,6.528319,-0.12831879
6.6,6.3271837,0.27281618
7.5,6.9703636,0.5296364
7.0,6.801308,0.19869184
