variable,mean_n_streaks,mean_avg_streak,mean_max_streak,global_max_streak
appCat.game,3.26,46.9,62.41,104
appCat.weather,2.96,51.82,63.44,104
appCat.finance,4.56,43.29,58.89,103
appCat.office,5.74,27.02,48.26,98
appCat.unknown,5.33,28.09,48.15,88
appCat.utilities,6.96,16.46,39.41,81
appCat.entertainment,5.07,16.43,34.7,72
appCat.travel,7.81,11.28,38.0,63
appCat.communication,2.78,21.88,32.85,58
activity,1.74,25.63,34.19,58
appCat.builtin,2.56,19.75,32.85,58
appCat.other,3.56,16.31,32.96,58
appCat.social,4.93,15.0,34.3,58
circumplex.arousal,2.15,17.87,30.52,58
circumplex.valence,2.15,17.87,30.52,58
screen,2.22,22.17,32.85,58
mood,2.15,17.87,30.52,58
sms,16.22,3.59,11.63,40
call,13.85,2.26,6.44,22
