variable,dtype,n_nonmissing,missing_%,zero_%,min,max,mean,median,std,IQR,skewness,zero_days_%,never_used_patients_%
activity,float,22965,0.0,42.83,0.0,1.0,0.116,0.0217,0.1869,0.1583,2.0903,,
appCat.builtin,float,91288,0.0,0.0,-82798.871,33960.246,18.5383,4.038,415.9892,7.902,-57.8225,39.43,0.0
appCat.communication,float,74276,0.0,0.0,0.006,9830.777,43.3438,16.2255,128.9128,40.2578,29.3518,40.04,0.0
appCat.entertainment,float,27125,0.0,0.0,-0.011,32148.677,37.5765,3.391,262.9605,13.588,78.0628,56.92,0.0
appCat.finance,float,939,0.0,0.0,0.131,355.513,21.7553,8.026,39.2184,16.083,4.2297,89.51,44.44
appCat.game,float,813,0.0,0.0,1.003,5491.793,128.3916,43.168,327.1452,109.477,9.6729,90.22,44.44
appCat.office,float,5642,0.0,0.0,0.003,32708.818,22.5789,3.106,449.6014,6.0398,68.6579,86.01,18.52
appCat.other,float,7650,0.0,0.0,0.014,3892.038,25.8108,10.028,112.7814,9.8103,21.32,43.23,0.0
appCat.social,float,19145,0.0,0.0,0.094,30000.906,72.4019,28.466,261.5518,66.342,80.211,49.92,0.0
appCat.travel,float,2846,0.0,0.0,0.08,10452.615,45.7308,18.144,246.1093,42.1407,33.9956,78.26,0.0
appCat.unknown,float,939,0.0,0.0,0.111,2239.937,45.553,17.19,119.4004,39.4125,9.9148,86.62,14.81
appCat.utilities,float,2487,0.0,0.0,0.246,1802.649,18.5376,8.03,60.9591,16.1725,18.1032,78.05,3.7
appCat.weather,float,255,0.0,0.0,1.003,344.863,20.1487,15.117,24.9434,16.665,8.8951,94.27,55.56
call,binary,5239,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,32.18,0.0
circumplex.arousal,integer,5597,0.82,28.34,-2.0,2.0,-0.0986,0.0,1.0519,2.0,-0.0763,,
circumplex.valence,integer,5487,2.76,23.82,-2.0,2.0,0.6878,1.0,0.6713,1.0,-1.0296,,
mood,integer,5641,0.0,0.0,1.0,10.0,6.9926,7.0,1.0328,1.0,-0.8331,,
screen,float,96578,0.0,0.0,0.035,9867.007,75.3352,20.0445,253.8225,57.218,15.672,,
sms,binary,1798,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,62.8,0.0
