,0
mood_lag1,0.10501827
mood_w5_mean,0.0715541
mood_lag2,0.048461124
activity_w5_std,0.047911584
circumplex_valence_w5_mean,0.046191808
mood_w5_std,0.042406995
appCat_communication_w5_mean,0.04150574
circumplex_valence_w5_trend,0.040190563
screen_w5_mean,0.04012273
activity_w5_trend,0.03951307
screen_lag1,0.038263105
activity_w5_mean,0.038232744
activity_lag1,0.038210575
appCat_communication_lag1,0.03806044
circumplex_valence_lag1,0.03789564
dow_cos,0.037466887
appCat_communication_w5_std,0.036866117
mood_w5_trend,0.03635245
circumplex_valence_w5_std,0.03611023
dow_sin,0.035895143
screen_w5_trend,0.035344604
screen_w5_std,0.035128076
appCat_communication_w5_trend,0.033298098
