,0
mood_w5_mean,0.25965154
mood_lag1,0.15389615
mood_lag2,0.041936047
mood_w5_std,0.041525133
circumplex_valence_w5_std,0.035298333
appCat_communication_lag1,0.033118427
activity_w5_std,0.03188963
screen_w5_mean,0.03097931
activity_w5_mean,0.029703036
dow_cos,0.02895918
circumplex_valence_lag1,0.02771437
activity_lag1,0.026891183
screen_w5_std,0.026333934
appCat_communication_w5_mean,0.025913822
appCat_communication_w5_std,0.02585107
circumplex_valence_w5_mean,0.025412126
circumplex_valence_w5_trend,0.025251582
screen_lag1,0.024492417
mood_w5_trend,0.02290842
activity_w5_trend,0.02194873
dow_sin,0.02037395
screen_w5_trend,0.020288397
appCat_communication_w5_trend,0.01966316
